id,title,titleAssamese,category,description,emoji,theme
1,Bihu Dance,Bihur Nritya,Dance,"The traditional folk dance of Assam performed during Rongali Bihu, marking the Assamese New Year and the onset of spring. Dancers in traditional Mekhela Sador perform graceful movements.",💃,Assamese Heritage
2,Bamboo Flute,Baah Phulori,Music,"The bamboo flute (bansuri) is a cherished musical instrument across Northeast India, especially among the Assamese and Manipuri communities.",🎵,Traditional Music
3,Muga Silk,Muga Resam,Textile,"The golden Muga silk of Assam is unique to the Brahmaputra valley. It has a natural golden sheen and becomes softer with every wash.",✨,Assamese Craft
4,Shillong Cherry Blossom,Umling Mwai,Festival,"Shillong hosts India's only cherry blossom festival every November, transforming the hill station into a pink wonderland.",🌸,Khasi Festival
5,Assamese Thali,Asamiya Thali,Food,"A complete Assamese meal served on a bell metal plate with rice, dal, fish curry, khar, pitika, and seasonal vegetables.",🍽️,Assamese Cuisine
6,War Dance of Nagaland,Naga Rani War Dance,Dance,"The energetic warrior dance performed by Naga tribes during Hornbill Festival, showcasing bravery and tribal unity.",⚔️,Naga Heritage
7,Muga Silk Weaving,Muga Tanar Kaaj,Craft,"The ancient art of handloom weaving Muga silk in Assam, passed down through generations of weavers in rural households.",🧵,Assamese Craft
8,Rongali Bihu,Rongali Bihu,Festival,"The most important festival of Assam celebrating the Assamese New Year with traditional songs, dances, feasts and community gatherings.",🎉,Assamese Festival
9,Manipur Pena Dance,Manipuri Pena Nritya,Dance,"A classical dance form of Manipur performed with a traditional string instrument called Pena, often depicting Radha-Krishna stories.",🎭,Manipur Dance
10,Naga Shawl,Naga Durrie,Textile,"Handwoven shawls with distinctive geometric patterns that represent each Naga tribe's identity and social status.",🧣,Naga Heritage
11,Meghalaya Living Root Bridge,Jaintia Jirong,Architecture,"The famous living root bridges of Meghalaya, grown from rubber tree roots by the Khasi and Jaintia tribes over centuries.",🌉,Khasi Architecture
12,Assamese Xorai,Asamiya Xorai,Tradition,"A traditional Assamese offering tray made of bell metal, used to offer betel nut and pan to guests as a mark of respect.",🫖,Assamese Tradition
13,Manipur Raas Leela,Manipuri Raas,Dance,"The divine dance-drama of Manipur depicting the childhood antics of Lord Krishna, performed during Kartik Purnima.",🙏,Manipur Dance
14,Mizo Cheraw Dance,Cheraw Nritya,Dance,"The bamboo dance of Mizoram where dancers step in and out of rhythmic bamboo poles, requiring great skill and coordination.",🎋,Mizo Culture
15,Tripura Garia Dance,Garia Nritya,Dance,"A traditional dance of Tripura performed during the Garia festival, celebrating the deity of wealth and prosperity.",💃,Tripura Culture
16,Sikkimese Prayer Flags,Dorji Lungta,Tradition,"Colorful prayer flags strung across Sikkimese monasteries, carrying mantras on the wind to spread peace and compassion.",🏔️,Sikkim Heritage
17,Arunachal Monpa Dance,Monpa Nritya,Dance,"The traditional dance of the Monpa tribe in Arunachal Pradesh, performed during Losar and Torgya festivals.",🎭,Arunachal Culture
18,Assamese Bihuwor Axali,Bihuwor Axali,Food,"The traditional early morning feast of Bihu where neighbors exchange traditional delicacies like pitha, laru and curd.",🍛,Assamese Festival
19,Khasi Betel Leaf,Kwai,Khasi Culture,"The betel leaf (kwai) holds deep cultural significance in Khasi society, offered during ceremonies and daily conversations.",🌿,Khasi Culture
20,Naga Kheisa,Naga Kheisa,Food,"Dried meat preparation traditional to Naga tribes, smoked over wood fire for preservation, a staple in Naga households.",🍖,Naga Cuisine
21,Assamese Jaapi,Asamiya Jaapi,Tradition,"The traditional conical hat of Assam made from bamboo and palm leaves, a symbol of Assamese identity and agrarian life.",🎩,Assamese Symbol
22,Mizoram Pawl Kut Festival,Pawl Kut,Festival,"The harvest festival of Mizoram celebrating the end of the jhum cultivation season with feasting, dancing and merriment.",🌾,Mizo Festival
23,Assamese Kolha Nritya,Kolha Nritya,Dance,"A tribal dance form of the Tea Garden community in Assam, performed during harvesting and festival seasons.",💃,Tea Tribe Culture
24,Manipuri Ema Market,Ema Keithel,Market,"The world's largest all-women market in Imphal, Manipur, where women trade everything from vegetables to handloom.",👩‍🌾,Manipur Heritage
25,Tripura Unakoti Carvings,Unakoti Relief,Heritage,"Ancient rock-cut sculptures dating back to 7th-9th century in Tripura, depicting Hindu deities in magnificent size.",🗿,Tripura Heritage
26,Sikkimese Butter Tea,Sherpa Gur Gur Gur,Food,"Traditional Tibetan-style butter tea made with yak butter and salt, a warming drink in the cold Sikkimese climate.",🍵,Sikkim Culture
27,Arunachal Tawang Monastery,Tawang Gompa,Architecture,"The largest Buddhist monastery in India located in Tawang, Arunachal Pradesh, founded in the 17th century.",🏛️,Arunachal Heritage
