day,accuracy,responseTime,score
2026-08-15,72.3,4500,68
2026-08-16,74.1,4200,70
2026-08-17,71.8,4600,66
2026-08-18,75.5,4100,72
2026-08-19,73.2,4300,69
2026-08-20,76.8,3900,74
2026-08-21,78.1,3800,76
2026-08-22,74.6,4100,71
2026-08-23,77.3,3700,75
2026-08-24,79.5,3500,78
2026-08-25,76.2,3900,73
2026-08-26,78.9,3600,77
2026-08-27,80.1,3400,79
2026-08-28,77.4,3700,75
2026-08-29,81.3,3200,80
2026-08-30,79.8,3500,78
2026-08-31,82.5,3100,82
2026-09-01,80.7,3300,80
2026-09-02,83.1,2900,83
2026-09-03,81.4,3200,81
2026-09-04,84.2,2800,84
2026-09-05,82.6,3000,82
2026-09-06,85.3,2700,85
2026-09-07,83.8,2900,84
2026-09-08,86.1,2600,86
2026-09-09,84.5,2800,85
2026-09-10,87.2,2500,87
2026-09-11,85.9,2700,86
2026-09-12,88.4,2400,88
2026-09-13,86.7,2600,87
2026-09-14,89.1,2300,89
2026-09-15,87.8,2500,88
2026-09-16,90.3,2200,90
2026-09-17,88.5,2400,89
2026-09-18,91.2,2100,91
2026-08-15,68.5,5200,64
2026-08-18,70.2,4900,67
2026-08-21,72.8,4500,70
2026-08-24,75.1,4200,73
2026-08-27,77.6,3800,76
2026-08-30,79.3,3600,78
2026-09-02,81.9,3200,81
2026-09-05,83.7,3000,83
2026-09-08,85.4,2800,85
2026-09-11,87.1,2600,87
2026-09-14,89.6,2400,89
2026-09-17,91.8,2200,91
