id,title,titleAssamese,location,emoji,story,storyAssamese,tags
1,Grandmother's Bihu Song,Didimaar Bihu Gaan,Assam,🎵,"Every Rongali Bihu morning, my grandmother would wake us with traditional Bihu songs. Her voice carried the joy of spring and new beginnings. We would all gather in the courtyard to listen.",প্ৰতি ৰঙালী বিহু সকালে আমাৰ জোনাকীয়ে আমাক পুৰণি বিহুৰ গানেৰে জাগাই উঠাইছিল। তেওঁয়ে গাই আমাক বহু আনন্দ দিয়াইছিল।,"family,music,bihu"
2,Fishing in Brahmaputra,Brahmaputraot Maach Asuwa,Assam,🐟,"My father took me fishing in the Brahmaputra every monsoon. We would cast nets early morning, sitting quietly on the wooden boat. Those peaceful moments on the river are etched in my memory.",ব্ৰহ্মপুত্ৰ নদীত মাছ ধৰা আমাৰ পুৰণি সময়। আমি প্ৰতি বৰষুণে বৈলাত বহুৰে মাছ ধৰাই আহোঁ।,"family,nature,brahmaputra"
3,Grandfather's Loom, Kaku'r Tant,Dhubri,🧵,My grandfather was a master weaver. I would sit beside him watching his skilled hands create beautiful Muga silk patterns. He taught me patience through the rhythm of his loom.,আজিউৱে এজন দক্ষ তান্তিক ছিলে। মই তাঁৰ লয় লগত বহি সুন্দৰ মূগা ৰেছামৰ ডিজাইন বনাই চাই থাকোঁ।,"craft,family,silk"
4,Khasi Storytelling Night,Khasi Ko' Kura,Shillong,🌙,"In our Khasi village, elders would gather children under the starlit sky and tell stories of ka Lai Blei and the creation of the world. Those stories shaped our understanding of life.",খাসী গাঁওত বিচাৰিয়া আমাক তাৰা পুৰণি কথা কঁব দিয়াইছিল। তাৰা বুজাই দিয়াইছিল প্ৰকৃতি আৰু মানুষৰ সম্পৰ্ক।,"family,culture,khasi"
5,Meitei Classical Dance Lesson,Manipuri Nritya Siksha,Imphal,💃,My mother enrolled me in Manipuri classical dance at age six. The grace of the Radha-Krishna narratives through dance taught me discipline and devotion.,মণিপুৰী শাস্ত্ৰীয় নৃত্যেৰে মোক চিয়াই দিয়া হৈছিল। সেই নৃত্যেৰ মধ্যে ভক্তি আৰু শৃঙখলা শিকা পোৱা গ'ল।,"dance,classical,manipur"
6,Naga Grandmother's Cooking,Naga Kaku'r Ranna,Kohima,🍛,My Naga grandmother made the best smoked pork with bamboo shoot. She would tell stories of the village while cooking over the traditional hearth. The aroma still haunts me.,নাগা আজিউৱে বাঁহ আৰু শূকৰী মাংস ৰান্ধিছিল। সেই সোঁৱৰ গন্ধ আজিও মোৰ মনত আছে।,"food,family,naga"
7,Mizoram Bamboo Dance Practice,Mizo Cheraw Siksha,Aizawl,🎋,We practiced Cheraw bamboo dance every evening in the church courtyard. The rhythm of bamboo poles clicking was the soundtrack of our youth.,চেৰাচ বাঁহ নৃত্য আমি প্ৰতি সন্ধিয়া প্ৰেক্ষাগৃহৰ পেলেত শিকোঁ। বাঁহ বাজোৱা শব্দ আমাৰ যৌবনৰ সংগীত ছিল।,"dance,festival,mizoram"
8,Sikkimese Monastery Visit,Monastery Bhraman,Gangtok,🙏,"Every winter our family visited Rumtek Monastery. The chanting monks, the butter lamps, and the smell of juniper incense created a world of peace.",শীতে আমি পৰিয়ালেৰে ৰুমটেক মঠ যাওঁ। সেই শান্তিৰ পৰিবেশ মোক গভীৰ প্ৰভাৱ পেলায়।,"spiritual,monastery,sikkim"
9,Tea Garden Songs,Cha Baganer Gaan,Jorhat,🌿,"The tea tribe women would sing melodious songs while plucking tea leaves. Their songs spoke of love, nature, and the beauty of Assam.",চা বাগিচাত মহিলাসকলে গান গাই চাহ পাত তুলিছিল। তাৰ গানে আমাক আনন্দ দিয়াইছিল।,"music,nature,tea"
10,Assamese Wedding Feast,Asamiya Biya Bhoj,Sivasagar,🍽️,"The seven-course Assamese wedding feast with handpounded rice, duck curry, fish bharta and pitha. Every dish was prepared with love by the village women.",অসমীয়া বিয়াত সাতোটা প্ৰকাৰৰ খাদ্য পৰিৱেশন কৰা হৈছিল। সকলো খাদ্য গাঁওৰ মহিলাই ভাল পাই ৰান্ধিছিল।,"food,family,wedding"
